year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,557,-305,-248,3
2015-03-01,826,-521,-303,3
2016-03-01,1038,-406,-631,0
2017-03-01,1150,-1140,2,13
2018-03-01,776,-478,-314,-17
2019-03-01,954,-685,-246,23
2020-03-01,1216,-83,-1091,41
2021-03-01,1947,75,-35,1987
2022-03-01,1912,-2195,-532,-816
2023-03-01,2460,-2708,-797,-1045
2024-03-01,1261,-269,-799,193
2025-03-01,1653,-804,-799,50
