Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,1343.20,1348.10,1335.60,1337.55,1339.553782550460098687,862315,33495,1155117320.00,230188,26.69,12.50,-5.65
31-December-2025,1347.60,1350.00,1339.40,1342.90,1345.013005510575187891,144631,15167,194530576.00,57198,39.55,10.60,-4.70
30-December-2025,1339.50,1347.40,1338.30,1342.15,1341.932580918707600321,278304,13009,373465205.00,231176,83.07,9.10,2.65
29-December-2025,1350.60,1355.00,1341.90,1343.20,1346.945585333771785596,121640,8244,163842461.00,73774,60.65,13.10,-7.40
26-December-2025,1357.00,1362.00,1348.50,1350.55,1353.206622465941876683,52337,2951,70822775.00,32486,62.07,13.50,-6.45
24-December-2025,1363.05,1368.15,1357.80,1359.50,1361.524218858848288859,545484,25825,742689677.00,167792,30.76,10.35,-3.55
23-December-2025,1364.95,1365.05,1357.40,1363.05,1361.291823345515389018,113555,10479,154581493.00,82858,72.97,7.65,-1.90
22-December-2025,1356.00,1371.00,1354.30,1368.40,1365.097031088152602338,148674,10118,202954436.00,94956,63.87,16.70,12.40
19-December-2025,1356.85,1359.85,1351.00,1354.15,1355.735178007895463108,250017,18036,338956842.00,175911,70.36,8.85,-2.70
18-December-2025,1349.95,1369.50,1345.00,1356.90,1359.814165942316099420,976737,37841,1328180809.00,224081,22.94,24.50,6.95
17-December-2025,1366.00,1366.00,1343.20,1352.95,1349.578654699208001892,346718,12101,467923212.00,155794,44.93,22.80,-13.05
16-December-2025,1362.00,1368.05,1355.55,1366.00,1363.022753752891710710,118442,5231,161439141.00,82520,69.67,12.50,4.00
15-December-2025,1358.55,1369.40,1356.65,1365.20,1364.990905214297198861,143049,8605,195260584.00,103131,72.09,12.75,6.65
12-December-2025,1366.10,1370.35,1363.35,1366.00,1366.053479580325217909,732186,2849,1000205233.00,709823,96.95,7.00,-0.10
11-December-2025,1363.55,1366.20,1353.15,1359.95,1359.964140455698447747,1217779,41044,1656135771.00,170138,13.97,13.05,-3.60
10-December-2025,1375.50,1379.50,1357.80,1364.15,1366.519761868941950181,511819,27937,699410778.00,155124,30.31,21.70,-11.35
9-December-2025,1380.00,1383.80,1373.35,1374.90,1378.531333470310252722,214148,6993,295209728.00,114991,53.70,10.45,-5.10
8-December-2025,1390.50,1394.75,1382.80,1389.40,1388.906866812736002983,107255,4192,148967206.00,62707,58.47,11.95,-1.10
5-December-2025,1379.90,1395.05,1379.85,1392.00,1389.527633946101933280,219006,7116,304314889.00,182894,83.51,15.20,12.10
4-December-2025,1389.20,1391.80,1380.10,1386.50,1385.174233905774385534,1056528,29080,1463475363.00,88861,8.41,11.70,-2.70
3-December-2025,1369.60,1393.95,1367.55,1391.40,1382.070637155703967494,567789,13117,784724505.00,318472,56.09,26.40,21.80
2-December-2025,1381.30,1385.00,1371.00,1372.65,1375.021227083160835138,229471,7887,315527496.00,140838,61.38,14.00,-8.65
1-December-2025,1393.00,1400.00,1385.35,1389.90,1393.848413560655962086,116897,6502,162936698.00,61619,52.71,14.65,-3.10
28-November-2025,1392.05,1398.00,1386.15,1388.70,1389.761242066274700181,222468,7255,309177404.00,173077,77.80,11.85,-3.35
27-November-2025,1377.45,1394.40,1375.45,1392.05,1390.059235278341825983,1044040,35127,1451277444.00,215102,20.60,18.95,14.60
26-November-2025,1359.00,1376.50,1359.00,1374.95,1366.555040310960820939,1058397,19232,1446357755.00,897972,84.84,17.50,15.95
25-November-2025,1366.90,1376.80,1354.40,1358.05,1360.321112087081243954,359756,9694,489383682.00,231502,64.35,22.40,-8.85
24-November-2025,1368.70,1376.55,1361.00,1368.05,1369.536744033102238785,547395,13209,749677566.00,386911,70.68,15.55,-0.65
21-November-2025,1374.45,1376.15,1364.90,1369.80,1369.432127802827984095,5009717,10227,6860467411.00,4720341,94.22,11.25,-4.65
20-November-2025,1383.95,1388.00,1375.10,1382.90,1382.410353601927850130,1024146,25189,1415790034.00,227419,22.21,12.90,-1.05
19-November-2025,1372.05,1384.00,1371.90,1383.10,1379.058139855436035132,181373,10972,250123912.00,115281,63.56,12.10,11.05
18-November-2025,1382.90,1382.90,1369.20,1371.90,1375.223472862006809533,74895,2640,102997362.00,48721,65.05,13.70,-11.00
17-November-2025,1373.20,1382.45,1373.20,1378.90,1378.856889651229273870,69960,2821,96464828.00,49878,71.30,9.25,5.70
14-November-2025,1377.85,1381.55,1363.50,1371.90,1370.683477482390833457,194359,7426,266404670.00,125871,64.76,18.05,-5.95
13-November-2025,1359.00,1390.60,1359.00,1385.95,1383.940843239681713878,1226318,37433,1697151567.00,400594,32.67,31.60,26.95
12-November-2025,1369.00,1369.00,1356.00,1358.95,1361.682676549556415659,200751,8059,273359159.00,121772,60.66,13.00,-10.05
11-November-2025,1349.85,1360.15,1346.80,1358.40,1353.015625931243735269,184565,5581,249719329.00,132219,71.64,13.35,8.55
10-November-2025,1343.10,1349.65,1340.95,1348.50,1343.914745035539206966,281098,6463,377771747.00,157343,55.97,8.70,5.40
7-November-2025,1318.55,1344.70,1318.55,1342.75,1337.115860184171861490,330778,11417,442288510.00,190120,57.48,26.15,24.20
6-November-2025,1330.00,1341.60,1317.50,1320.40,1321.880154250773111811,968812,22149,1280653356.00,131181,13.54,24.10,-9.60
4-November-2025,1344.80,1349.95,1333.50,1336.60,1336.703904486506508841,488643,7718,653171006.00,411036,84.12,16.45,-8.20
3-November-2025,1341.95,1351.50,1338.00,1345.60,1345.346890320489445322,493620,9220,664090132.00,390174,79.04,13.50,3.65
31-October-2025,1359.00,1362.00,1343.40,1345.05,1349.508718262465585806,385742,15202,520562192.00,252985,65.58,18.60,-13.95
30-October-2025,1362.15,1370.30,1360.80,1362.45,1363.462060457380104827,707639,18804,964838929.00,219188,30.97,9.50,0.30
29-October-2025,1362.35,1371.50,1359.00,1370.55,1364.800500245045013223,452978,18870,618224601.00,308347,68.07,12.50,8.20
28-October-2025,1374.90,1374.90,1356.60,1363.20,1361.534380766308477151,884448,32333,1204206360.00,526237,59.50,18.30,-11.70
27-October-2025,1380.00,1387.45,1373.65,1377.70,1380.907147896424305502,715805,26692,988460241.00,584131,81.60,13.80,-2.30
24-October-2025,1370.55,1381.75,1368.80,1375.45,1377.216426783772951075,745989,10000,1027388305.00,656452,88.00,12.95,4.90
23-October-2025,1386.95,1390.15,1360.00,1363.50,1372.587671006932172159,1060995,37801,1456308656.00,389541,36.71,30.15,-23.45
21-October-2025,1386.95,1388.00,1376.10,1382.20,1383.671531413612565445,137520,11236,190282509.00,85284,62.02,11.90,-4.75
20-October-2025,1441.20,1441.95,1389.25,1390.90,1404.142292831601430319,625035,23316,877638078.00,363648,58.18,52.70,-50.30
17-October-2025,1413.90,1439.60,1411.40,1436.70,1428.567127100787044709,591326,14721,844748885.00,416479,70.43,28.20,22.80
16-October-2025,1400.05,1419.05,1399.05,1417.20,1413.791423090528529343,1430422,29076,2022318355.00,620502,43.38,20.00,17.15
15-October-2025,1386.00,1400.20,1385.40,1398.40,1394.477780978535717257,781065,23605,1089177788.00,400099,51.22,14.80,12.40
14-October-2025,1385.30,1387.30,1375.00,1384.10,1379.437921561290703742,203114,12225,280183154.00,138117,68.00,12.30,-1.20
13-October-2025,1371.05,1385.45,1371.05,1379.05,1378.944753204479145572,533316,18474,735413300.00,364829,68.41,14.40,8.00
10-October-2025,1368.90,1385.15,1368.90,1380.65,1382.414771296862405778,472687,9247,653449491.00,260687,55.15,16.25,11.75
9-October-2025,1371.60,1378.95,1365.65,1376.20,1376.088443660098709347,947428,17647,1303744722.00,359969,37.99,13.30,4.60
8-October-2025,1373.90,1381.25,1364.40,1370.15,1370.530095432721706505,506954,10930,694795714.00,393802,77.68,16.85,-3.75
7-October-2025,1365.40,1383.00,1364.00,1376.10,1377.743011002035505397,504543,6259,695130592.00,449007,88.99,19.00,10.70
6-October-2025,1367.05,1372.50,1359.50,1362.90,1364.735052991233775155,218338,6697,297973522.00,103504,47.41,13.00,-4.15
3-October-2025,1374.35,1374.35,1361.20,1365.00,1366.836410055541622401,709738,4885,970095740.00,633446,89.25,13.15,-9.35
1-October-2025,1349.15,1379.55,1344.70,1371.95,1370.698145293724310185,1627104,26611,2230268435.00,703643,43.25,34.85,22.80
30-September-2025,1355.00,1356.00,1343.00,1348.05,1349.270076726342710997,70380,3897,94961628.00,33522,47.63,13.00,-6.95
29-September-2025,1357.95,1366.55,1345.50,1347.05,1354.003405359557261267,238154,9643,322461327.00,150186,63.06,21.05,-10.90
26-September-2025,1369.75,1370.40,1357.00,1360.75,1363.487140808150749295,202190,7189,275683465.00,51706,25.57,13.40,-9.00
25-September-2025,1379.00,1391.25,1373.20,1375.50,1377.328111543214169176,747764,25682,1029916378.00,127103,17.00,18.05,-3.50
24-September-2025,1386.00,1390.90,1377.00,1381.95,1381.572651602542353712,265266,22245,366484251.00,119632,45.10,13.90,-4.05
23-September-2025,1401.00,1403.00,1393.15,1394.55,1397.727745108733377626,100843,7735,140951059.00,69567,68.99,9.85,-6.45
22-September-2025,1395.55,1409.80,1395.55,1401.40,1402.758429090684591105,129581,9821,181770840.00,68208,52.64,14.25,5.85
19-September-2025,1418.95,1418.95,1400.65,1402.40,1404.526996241856145798,137834,13652,193591574.00,88930,64.52,18.30,-16.55
18-September-2025,1429.00,1432.50,1415.25,1421.85,1422.200775516644635923,386581,17278,549795798.00,66461,17.19,17.25,-7.15
17-September-2025,1420.00,1426.55,1416.40,1418.85,1420.837802346299918811,183523,9950,260756416.00,86592,47.18,10.15,-1.15
16-September-2025,1419.45,1424.70,1414.50,1421.75,1420.796104988270703315,112965,3538,160500232.00,91837,81.30,10.20,2.30
15-September-2025,1419.30,1426.85,1416.65,1419.50,1422.908512470376664050,131231,5936,186729707.00,94737,72.19,10.20,0.20
12-September-2025,1401.90,1419.85,1400.00,1417.60,1412.486335498662590752,261700,14092,369647674.00,190929,72.96,19.85,15.70
11-September-2025,1397.35,1407.70,1396.00,1401.80,1403.100799944086513412,944316,32626,1324970535.00,239124,25.32,11.70,4.45
10-September-2025,1416.35,1416.35,1402.00,1403.45,1408.515620532146549259,681955,16236,960544270.00,309104,45.33,14.35,-12.90
9-September-2025,1407.90,1407.90,1395.50,1403.00,1400.724270382952439777,51808,3305,72568723.00,23170,44.72,12.40,-4.90
8-September-2025,1401.00,1410.50,1397.70,1402.35,1403.474844668179520973,100913,5172,141628857.00,34127,33.82,12.80,1.35
5-September-2025,1412.55,1412.55,1388.10,1402.70,1395.808911400893295494,167022,6595,233130796.00,89433,53.55,24.45,-9.85
4-September-2025,1409.20,1415.00,1401.80,1405.65,1407.274281607634853569,552414,24794,777398015.00,120689,21.85,13.20,-3.55
3-September-2025,1391.00,1400.00,1383.90,1397.15,1392.135889626404912849,120826,14199,168206211.00,46534,38.51,16.10,6.15
2-September-2025,1411.55,1413.45,1390.10,1394.45,1405.147182867905986405,97688,3536,137266018.00,60031,61.45,23.35,-17.10
1-September-2025,1398.00,1412.15,1397.95,1410.70,1405.864041918698009103,82827,5484,116443501.00,46880,56.60,14.20,12.70
29-August-2025,1392.00,1404.80,1391.70,1398.00,1400.182213389641038380,48306,3135,67637202.00,27822,57.60,13.10,6.00
28-August-2025,1410.70,1411.65,1396.15,1398.80,1403.349936298676120312,90265,7299,126673382.00,48437,53.66,15.50,-11.90
26-August-2025,1421.30,1426.05,1413.30,1416.70,1417.461485139295548365,676583,24534,959030344.00,73020,10.79,12.75,-4.60
25-August-2025,1439.95,1439.95,1423.60,1433.20,1427.768206871085095325,292472,7873,417582223.00,185071,63.28,16.35,-6.75
22-August-2025,1441.35,1445.50,1430.00,1436.20,1433.752476802805581939,273740,5331,392475403.00,214267,78.27,15.50,-5.15
21-August-2025,1440.70,1447.70,1436.05,1445.80,1443.026130914767869754,80709,3737,116465196.00,52184,64.66,11.65,5.10
20-August-2025,1439.90,1439.90,1424.00,1430.25,1429.703826252244007180,142045,4871,203082280.00,96583,67.99,15.90,-9.65
19-August-2025,1430.25,1438.85,1426.25,1436.40,1435.676501077216098916,320270,12955,459804113.00,91607,28.60,12.60,6.15
18-August-2025,1431.25,1451.95,1431.15,1434.60,1440.761513029443157264,192065,6352,276719860.00,136265,70.95,20.80,3.35
14-August-2025,1417.95,1431.00,1415.00,1427.30,1426.321512869506575250,338086,7239,482219335.00,289283,85.56,16.00,9.35
13-August-2025,1422.10,1427.20,1415.55,1421.15,1420.199879731974113739,1396880,9909,1983848808.00,420543,30.11,11.65,-0.95
12-August-2025,1429.25,1433.65,1420.80,1422.10,1424.074982239975776491,171734,9408,244562093.00,46112,26.85,12.85,-7.15
11-August-2025,1431.95,1438.80,1419.85,1436.70,1425.812704522787032534,242638,6791,345956343.00,179640,74.04,18.95,4.75
8-August-2025,1446.20,1446.20,1432.25,1436.45,1437.130405318444967602,878001,4483,1261801933.00,157799,17.97,13.95,-9.75
7-August-2025,1442.95,1447.15,1428.85,1440.05,1435.129649003504734006,229404,6261,329224482.00,184035,80.22,18.30,-2.90
6-August-2025,1440.35,1453.00,1440.35,1444.75,1445.521930047468515262,98381,2668,142211893.00,76633,77.89,12.65,4.40
5-August-2025,1456.95,1461.00,1440.95,1444.30,1446.117792395959648462,1693021,10529,2448307791.00,67558,3.99,20.05,-12.65
4-August-2025,1476.10,1477.70,1461.60,1463.00,1468.433346238224287004,46494,2696,68273340.00,23378,50.28,16.10,-13.10
1-August-2025,1478.00,1485.00,1458.00,1471.40,1474.360282048114090050,113314,4659,167065661.00,70725,62.42,27.00,-6.60
31-July-2025,1471.00,1494.10,1464.40,1481.60,1476.154694480270659264,106998,5571,157945600.00,57008,53.28,29.70,10.60
30-July-2025,1490.00,1490.00,1477.15,1481.70,1483.245720313756619282,95743,5237,142010395.00,66339,69.29,12.85,-8.30
29-July-2025,1476.35,1489.85,1475.15,1486.25,1485.459567828225986950,942727,22596,1400382842.00,129150,13.70,14.70,9.90
28-July-2025,1474.20,1493.60,1474.20,1488.65,1486.741055193442806389,214482,8865,318879195.00,67189,31.33,19.40,14.45
25-July-2025,1489.40,1493.70,1473.70,1476.60,1480.064650580875781948,139875,5425,207024043.00,29266,20.92,20.00,-12.80
24-July-2025,1488.50,1488.50,1476.80,1482.70,1483.884593473321582005,149203,3038,221400033.00,118584,79.48,11.70,-5.80
