year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,1596,291,-972,915
2015-03-01,2448,-1865,-829,-246
2016-03-01,3137,-1453,-496,1188
2017-03-01,4071,-2893,-1571,-392
2018-03-01,3554,-3319,-269,-35
2019-03-01,4432,-2104,-2251,77
2020-03-01,4358,1081,-4466,974
2021-03-01,8094,-5433,-2987,-326
2022-03-01,5285,480,-4667,1098
2023-03-01,5572,-226,-5078,267
2024-03-01,6376,-1318,-4767,291
2025-03-01,5786,20,-5834,-29
