year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2015-03-01,520,566,-506,580
2016-03-01,881,314,-544,651
2017-03-01,1436,1550,-3616,-630
2018-03-01,1590,-490,-1100,1
2019-03-01,2409,-532,-1731,146
2020-03-01,-349,873,-677,-153
2021-03-01,2199,-1404,-601,195
2022-03-01,3958,-2619,-1140,199
2023-03-01,908,-334,-924,-350
2024-03-01,2719,-2000,-739,-20
2025-03-01,5806,-3971,-1758,78
