year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,4904,-4893,-66,-55
2015-03-01,6321,-4410,-1962,-51
2016-03-01,8484,-7227,-1236,21
2017-03-01,10279,-9178,-1129,-28
2018-03-01,11785,-8282,-3446,57
2019-03-01,6593,-3538,-2948,107
2020-03-01,3405,-464,-3100,-159
2021-03-01,8839,-7284,-1541,14
2022-03-01,1791,-189,-1602,0
2023-03-01,9228,-8018,-1208,1
2024-03-01,15167,-10683,-4062,422
2025-03-01,14012,-10242,-4149,-378
