Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-August-2023,565.40,573.00,564.20,572.10,568.539069443745702738,715572,18360,406830639.00,362075,50.60,8.80,6.70
16-August-2023,560.60,566.20,554.10,565.40,563.160869025299624730,330163,6910,185934882.00,99009,29.99,12.10,4.80
14-August-2023,573.00,573.00,558.80,560.60,561.746417986419213816,1108036,39725,622435254.00,573741,51.78,14.20,-12.40
11-August-2023,574.60,578.80,572.00,574.20,575.600773620198809930,401489,8213,231097379.00,85700,21.35,6.80,-0.40
10-August-2023,574.45,577.60,570.15,573.55,573.445813297458531827,759679,18426,435634742.00,221499,29.16,7.45,-0.90
9-August-2023,575.00,575.00,568.50,573.75,571.281819445058519608,316646,7439,180894103.00,103223,32.60,6.50,-1.25
8-August-2023,572.40,574.30,568.70,572.90,571.434763256214265878,507743,10293,290142001.00,184572,36.35,5.60,0.50
7-August-2023,579.75,579.75,566.65,567.85,570.075301881780847107,978860,18569,558023910.00,451911,46.17,13.10,-11.90
4-August-2023,594.90,598.50,571.50,573.25,581.772253489788697717,2741570,65905,1594969357.00,883593,32.23,27.00,-21.65
3-August-2023,598.00,600.75,585.20,590.60,590.853207147786331029,1140437,24870,673830859.00,477542,41.87,15.55,-7.40
2-August-2023,609.50,610.60,594.20,598.55,602.327206092201145379,420472,9696,253261725.00,141128,33.56,16.40,-10.95
1-August-2023,619.15,620.20,610.85,611.75,614.309928049552555481,467544,8665,287216921.00,165230,35.34,9.35,-7.40
31-July-2023,615.40,620.95,614.50,620.10,618.761131112305212251,372200,10604,230302893.00,182551,49.05,6.45,4.70
28-July-2023,616.10,619.80,613.85,616.05,616.370263887756517808,699123,9995,430918628.00,119126,17.04,5.95,-0.05
27-July-2023,614.30,621.15,613.25,616.50,616.807678465170739198,416776,7280,257070637.00,69480,16.67,7.90,2.20
26-July-2023,611.50,616.40,609.25,615.05,613.424288772536173944,387710,9571,237830731.00,193988,50.03,7.15,3.55
25-July-2023,620.30,621.45,604.20,609.80,611.594794462291746883,870035,18437,532108877.00,418225,48.07,17.25,-10.50
24-July-2023,614.10,621.50,614.10,617.65,617.931855425052440968,400927,6821,247745565.00,194210,48.44,7.40,3.55
21-July-2023,610.80,619.50,609.00,614.95,615.685467464194195922,1181652,22058,727525964.00,155855,13.19,10.50,4.15
20-July-2023,600.60,610.75,598.80,609.95,605.715551870169100008,844175,18707,511329926.00,498626,59.07,11.95,9.35
19-July-2023,594.00,602.30,592.00,601.35,597.270181629664662707,549745,10572,328346296.00,279731,50.88,10.30,7.35
18-July-2023,602.85,603.90,588.80,592.20,597.869455634162415058,916516,15608,547956922.00,345699,37.72,15.10,-10.65
17-July-2023,585.05,602.60,584.10,600.90,594.003683239588546814,1106906,21203,657506241.00,801234,72.38,18.50,15.85
14-July-2023,585.80,591.25,580.70,584.45,584.523143855279050431,584518,16632,341664299.00,247774,42.39,10.55,-1.35
13-July-2023,592.60,598.05,584.00,585.70,593.481094532426820828,589512,12940,349864227.00,348462,59.11,14.05,-6.90
