year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,3734,3444,-5801,1376
2015-03-01,3999,-517,-3449,33
2016-03-01,2502,3645,-6290,-144
2017-03-01,2109,5171,-7249,31
2018-03-01,3376,-1865,-1557,-46
2019-03-01,4002,-789,-3201,11
2020-03-01,2126,-313,-1753,60
2021-03-01,7266,-4316,-2591,359
2022-03-01,6942,-3214,-4067,-339
2023-03-01,1838,202,-2067,-28
2024-03-01,7394,-6076,-1302,16
2025-03-01,1894,306,-2225,-25
