Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-January-2025,68.00,68.59,67.46,67.66,67.940323942035166280,562755,3156,38233757.00,191174,33.97,1.13,-0.34
2-January-2025,66.00,67.85,65.93,67.65,66.869972071913669879,1518543,9840,101544928.00,719576,47.39,1.92,1.65
1-January-2025,66.40,66.40,65.00,65.98,65.664767441149267028,1471477,7393,96624195.00,384754,26.15,1.40,-0.42
31-December-2024,66.95,67.80,65.60,65.95,66.795937143619894666,1116259,13142,74561566.00,615821,55.17,2.20,-1.00
30-December-2024,69.55,69.75,66.55,66.95,67.525064816711761672,1132424,13352,76467004.00,596243,52.65,3.20,-2.60
27-December-2024,72.00,72.20,69.15,69.35,70.537685751555641735,907664,7431,64024518.00,533851,58.82,3.05,-2.65
26-December-2024,215.00,216.40,213.30,214.25,214.429679534383142630,564928,8869,121137330.00,274633,48.61,3.10,-0.75
24-December-2024,214.25,215.00,210.15,212.50,211.902816837570496480,463321,5576,98179025.00,159819,34.49,4.85,-1.75
23-December-2024,216.45,217.65,208.10,214.00,213.324866397518472440,780487,9786,166497285.00,217788,27.90,9.55,-2.45
20-December-2024,215.00,219.30,211.50,213.35,215.403595406453239753,475885,6367,102507340.00,126075,26.49,7.80,-1.65
19-December-2024,212.90,215.95,210.00,214.10,213.851718240388036842,609839,8710,130415118.00,204489,33.53,5.95,1.20
18-December-2024,227.85,228.80,211.35,213.65,216.247680772890947710,1064471,12145,230189385.00,414901,38.98,17.45,-14.20
17-December-2024,232.75,233.95,227.00,227.50,230.041563016360103862,220292,4122,50676316.00,112019,50.85,6.95,-5.25
16-December-2024,233.70,234.25,230.60,232.65,232.393116441503538277,87048,1089,20229356.00,30221,34.72,3.65,-1.05
13-December-2024,239.95,239.95,229.30,233.70,231.664137599154304016,507038,6121,117462521.00,197784,39.01,10.65,-6.25
12-December-2024,241.95,241.95,237.75,240.70,238.483335709194583036,666425,3795,158931257.00,538833,80.85,4.20,-1.25
11-December-2024,243.95,246.25,240.00,240.85,244.006388550064863528,1083814,13347,264457540.00,844388,77.91,6.25,-3.10
10-December-2024,242.10,248.40,242.10,243.95,245.449340837565903532,983445,10611,241385927.00,538865,54.79,6.30,1.85
9-December-2024,239.85,242.25,235.65,241.55,238.022230877288183063,685533,5529,163172094.00,444572,64.85,6.60,1.70
6-December-2024,235.25,239.40,235.00,238.75,237.401111157376288567,168113,2096,39910213.00,77457,46.07,4.40,3.50
5-December-2024,235.25,236.40,233.70,235.05,235.031101567932307632,408436,4318,95995163.00,330142,80.83,2.70,-0.20
