year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2015-03-01,-7064,-360,6867,-557
2016-03-01,-9870,-687,11656,1100
2017-03-01,-10439,-3047,12513,-972
2018-03-01,-20566,1075,19503,13
2019-03-01,-29062,-5379,34449,9
2020-03-01,-24412,-8758,34167,998
2021-03-01,-807,-429,1741,505
2022-03-01,-37090,6347,32275,1532
2023-03-01,-42112,-10394,50675,-1831
2024-03-01,-69843,-10088,82415,2484
2025-03-01,-68154,-2765,70527,-392
