year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,646,-819,118,-55
2015-03-01,1237,-1017,93,313
2016-03-01,1420,-1446,365,340
2017-03-01,3279,-1787,-1915,-424
2018-03-01,1955,-1927,864,892
2019-03-01,1651,-2904,1919,666
2020-03-01,4381,-1563,-1947,871
2021-03-01,3329,597,-1365,2561
2022-03-01,5016,-3211,-2969,-1164
2023-03-01,2387,-3971,1814,230
2024-03-01,2435,-4242,800,-1007
2025-03-01,3925,-1866,120,2178
