year,roe,debt_equity,opm,intrinsic_value
2014-03-01,0.2392993487536492,0.0,0.2670895418187621,655.5
2015-03-01,0.2438505203405865,0.0,0.2791312665278793,769.5
2016-03-01,0.2184665716506867,0.0,0.2735222049614836,826.5
2017-03-01,0.2080687715635963,0.0,0.2716546930669937,890.3399999999999
2018-03-01,0.246892472621413,0.0,0.2668954368849437,1054.5
2019-03-01,0.2372667364660959,0.0,0.2439673420018143,997.5
2020-03-01,0.2542245989304812,0.0707868601986249,0.2452555870075227,1111.5
2021-03-01,0.2543909051616875,0.0697436837762439,0.2775798232343339,1282.5
2022-03-01,0.2939084273390843,0.0726476443264764,0.2588847510296693,1497.96
2023-03-01,0.3197050671688304,0.1100560955879427,0.2393589839677856,1653.0
2024-03-01,0.2978800671841663,0.0948635889055336,0.2370339038198737,1801.2
2025-03-01,0.2791751027990565,0.0858606942328163,0.240726424934045,1833.12
