year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,3959,-2176,507,2290
2015-03-01,5616,-1502,-1187,2927
2016-03-01,6686,-3949,-1889,848
2017-03-01,7082,-4186,-2285,611
2018-03-01,3907,-3104,-1539,-736
2019-03-01,2196,-310,-2731,-844
2020-03-01,6555,-2225,-5715,-1386
2021-03-01,6170,407,-5980,596
2022-03-01,8985,-5556,-5193,-1765
2023-03-01,4959,-7220,2376,115
2024-03-01,12135,-763,-6710,4662
2025-03-01,14072,-5183,-7906,983
