year,roe,debt_equity,opm,intrinsic_value
Mar 2014,0.33046958181884933,0.00888497264750156,0.37047527332464736,143.5
Mar 2015,0.30813587093521555,0.008476178472397277,0.36715871911791226,164.0
Mar 2016,0.22261012183692597,0.0019681349578256793,0.3707644417228006,164.0
Mar 2017,0.2257341693060134,0.0009911016310085537,0.36171904227459784,173.63500000000002
Mar 2018,0.21887259569605788,0.0006855836983431727,0.3802389007802251,184.5
Mar 2019,0.21704063171065757,0.00021981366564650582,0.3834712453454696,205.0
Mar 2020,0.2388889740015014,0.004243714859130115,0.39167409087227667,246.0
Mar 2021,0.2217674449434106,0.004490695477819941,0.3464482205574842,225.5
Mar 2022,0.24822672324073333,0.003986870546793691,0.3400610108005606,253.58499999999998
Mar 2023,0.2816426867182416,0.004424842744559323,0.3624416587938352,307.5
Mar 2024,0.27851074395694364,0.004066731984914169,0.3707825472531355,335.995
Mar 2025,0.5005283449950021,0.004069684420962445,0.3430426297412477,569.285
