Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-February-2023,408.10,413.00,408.10,409.95,411.052976183256720315,494694,13644,203345441.00,360433,72.86,4.90,1.85
15-February-2023,403.05,407.90,400.50,407.45,404.575599071082686827,136503,2866,55225783.00,73532,53.87,7.40,4.40
14-February-2023,402.50,406.25,401.40,404.95,404.805672748232770007,249826,8523,101130982.00,174292,69.77,4.85,2.45
13-February-2023,405.10,405.50,399.25,400.95,401.461622020250338834,100344,2674,40284265.00,48545,48.38,6.25,-4.15
10-February-2023,406.35,407.00,402.80,405.65,405.554954967957970094,138568,2376,56196939.00,91912,66.33,4.20,-0.70
9-February-2023,406.60,408.85,403.45,408.00,406.269126715517146956,91299,2818,37091965.00,57836,63.35,5.40,1.40
8-February-2023,400.40,407.60,400.40,406.60,405.269016633430544188,86753,3379,35158303.00,48184,55.54,7.20,6.20
7-February-2023,404.75,405.00,399.00,400.30,401.151285394258279139,386574,11580,155074657.00,233176,60.32,6.00,-4.45
6-February-2023,404.40,406.20,401.65,404.70,403.858009238038150981,170166,4198,68722902.00,112935,66.37,4.55,0.30
3-February-2023,411.90,413.00,406.15,407.80,408.944368777888978351,132893,4008,54345844.00,57586,43.33,6.85,-4.10
2-February-2023,400.00,410.00,400.00,409.10,406.760216796188138269,725105,21039,294943867.00,502400,69.29,10.00,9.10
1-February-2023,400.05,403.90,398.40,402.55,402.008454248751523730,203448,4720,81787816.00,138179,67.92,5.50,2.50
31-January-2023,400.05,402.30,397.55,398.80,399.943175888671832887,231891,10009,92743223.00,121846,52.54,4.75,-1.25
30-January-2023,398.00,404.70,395.40,402.40,401.108197461212976022,177250,5316,71096428.00,101552,57.29,9.30,4.40
27-January-2023,399.05,403.45,394.30,398.00,399.024995295204530290,116902,4164,46646820.00,54891,46.95,9.15,-1.05
25-January-2023,404.30,405.95,400.05,401.40,402.031938331323871917,206523,3696,83028842.00,151572,73.39,5.90,-2.90
24-January-2023,409.00,410.35,405.15,406.25,407.130188734821316799,271598,5501,110575745.00,138938,51.16,5.20,-2.75
23-January-2023,404.05,407.70,402.50,406.85,405.004296260030408447,445271,10639,180336668.00,279955,62.87,5.20,2.80
20-January-2023,402.15,405.45,401.40,403.15,403.049918186013770855,214511,4307,86458641.00,138328,64.49,4.05,1.00
19-January-2023,402.00,403.90,398.70,403.35,402.045233579817311874,287375,9533,115537749.00,200953,69.93,5.20,1.35
18-January-2023,397.85,403.75,397.85,403.20,401.935880620653814744,161636,4715,64967308.00,97294,60.19,5.90,5.35
17-January-2023,400.00,402.00,393.80,396.15,397.617515131793036121,384125,11082,152734828.00,187678,48.86,8.20,-3.85
16-January-2023,394.00,400.90,389.80,398.65,397.187349232591829932,303033,7139,120360874.00,92366,30.48,11.10,4.65
13-January-2023,397.20,397.20,386.65,393.65,392.357156541321313288,276649,5700,108545215.00,122810,44.39,10.55,-3.55
12-January-2023,394.65,397.70,390.50,394.45,394.043670325916494573,386418,11773,152265567.00,162423,42.03,7.20,-0.20
11-January-2023,392.50,396.00,391.35,393.95,394.387900392557894042,485024,12104,191287597.00,246509,50.82,4.65,1.45
10-January-2023,392.10,393.75,387.35,393.05,390.917559491661244822,398081,5779,155616853.00,267858,67.29,6.40,0.95
9-January-2023,385.50,392.60,385.00,391.70,390.019423742999350019,449244,11593,175213886.00,259882,57.85,7.60,6.20
6-January-2023,386.25,388.90,381.50,382.15,384.103402931215070451,392397,18305,150721023.00,230286,58.69,7.40,-4.10
5-January-2023,390.60,392.25,383.80,386.95,386.868110880715922732,568106,17057,219782095.00,335944,59.13,8.45,-3.65
4-January-2023,397.05,397.50,388.50,389.75,391.097791054950452866,399014,7952,156053494.00,312787,78.39,9.00,-7.30
3-January-2023,393.40,397.85,391.80,397.00,395.052533675054181257,338678,10582,133795602.00,216492,63.92,6.05,3.60
2-January-2023,392.75,393.80,390.45,393.10,392.506091053145725715,398207,12169,156298673.00,231342,58.10,3.35,0.35
