year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,1563,-1265,-266,33
2015-03-01,1173,-950,165,388
2016-03-01,1741,-4533,3104,312
2017-03-01,2382,-1304,-1326,-248
2018-03-01,1463,-834,-385,243
2019-03-01,1691,-1688,-349,-345
2020-03-01,3068,114,-2949,234
2021-03-01,3755,-2374,-1240,141
2022-03-01,3326,-1858,-1600,-132
2023-03-01,3238,-2376,-958,-97
2024-03-01,4134,-2982,-1200,-49
2025-03-01,5005,-3682,-1293,30
