year,roe,debt_equity,opm,intrinsic_value
Mar 2014,0.23929934875364922,0.0,0.2670895418187621,655.5
Mar 2015,0.24385052034058657,0.0,0.27913126652787934,769.5
Mar 2016,0.2184665716506867,0.0,0.27352220496148366,826.5
Mar 2017,0.2080687715635963,0.0,0.27165469306699375,890.3399999999999
Mar 2018,0.24689247262141306,0.0,0.2668954368849437,1054.5
Mar 2019,0.23726673646609595,0.0,0.24396734200181433,997.5
Mar 2020,0.25422459893048127,0.0707868601986249,0.24525558700752279,1111.5
Mar 2021,0.2543909051616875,0.06974368377624393,0.27757982323433394,1282.5
Mar 2022,0.2939084273390843,0.07264764432647644,0.2588847510296693,1497.96
Mar 2023,0.31970506716883046,0.11005609558794277,0.23935898396778568,1653.0
Mar 2024,0.2978800671841663,0.09486358890553362,0.23703390381987374,1801.2
Mar 2025,0.27917510279905655,0.08586069423281638,0.24072642493404503,1833.12
