year,roe,debt_equity,opm,intrinsic_value
Mar 2014,0.11348502921680835,0.698389929889726,0.08058433155487277,360.0
Mar 2015,0.10819271484080019,0.7700309841234971,0.10003151945124102,382.5
Mar 2016,0.12895800583876038,0.8408937794745116,0.15327808410649232,495.0
Mar 2017,0.1131284863239404,0.8246779594173881,0.15234871066016567,484.875
Mar 2018,0.12292764032081116,0.8171655775350418,0.16456298631349742,607.5
Mar 2019,0.10290820227737708,0.7948965674016822,0.14823951282425743,652.5
Mar 2020,0.08878677370949715,0.7906497820404929,0.1496047288408005,652.5
Mar 2021,0.07675114114817502,0.398419245556806,0.17325495864312568,877.5
Mar 2022,0.08703823678454364,0.40944726325715053,0.15630519683361813,1009.5749999999999
Mar 2023,0.10349336194179966,0.6309284341334763,0.16239006111392568,1102.5
Mar 2024,0.09958650553699458,0.4420005015873096,0.18074592816122959,1157.625
Mar 2025,0.09642907969639469,0.4439195920303605,0.17199268814524002,1158.075
