date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2025-11-11,1534.0,1558.7,1532.0,1543.9,902,200,1397263.0
2025-11-10,1505.6,1525.0,1499.25,1519.35,1424,114,2150139.0
2025-11-07,1580.55,1580.55,1471.3,1498.5,10935,564,16502698.0
2025-11-06,1630.0,1630.0,1501.1,1579.35,1361,164,2153624.0
2025-11-04,1614.65,1648.4,1590.0,1599.2,5218,605,8419516.0
2025-11-03,1555.4,1598.4,1548.05,1571.75,22200,199,34932882.0
2025-10-31,1563.8,1578.4,1563.8,1571.15,78,16,122679.0
2025-10-30,1599.75,1599.95,1559.85,1573.7,3544,294,5578573.0
2025-10-29,1600.0,1614.7,1590.25,1601.3,7774,1291,12462904.0
2025-10-28,1575.0,1604.85,1564.0,1585.2,9278,616,14659026.0
2025-10-27,1550.0,1599.95,1537.25,1575.05,22567,1517,35799709.0
2025-10-24,1540.0,1556.0,1537.7,1540.4,3439,284,5317906.0
2025-10-23,1565.0,1578.75,1422.4,1536.1,2059,291,3205958.0
2025-10-21,1576.8,1576.8,1559.55,1562.95,666,104,1041417.0
2025-10-20,1530.6,1576.8,1530.6,1568.0,3715,382,5809902.0
