year,roe,debt_equity,opm,intrinsic_value
2014-03-01,0.1134850292168083,0.698389929889726,0.0805843315548727,360.0
2015-03-01,0.1081927148408001,0.7700309841234971,0.100031519451241,382.5
2016-03-01,0.1289580058387603,0.8408937794745116,0.1532780841064923,495.0
2017-03-01,0.1131284863239404,0.8246779594173881,0.1523487106601656,484.875
2018-03-01,0.1229276403208111,0.8171655775350418,0.1645629863134974,607.5
2019-03-01,0.102908202277377,0.7948965674016822,0.1482395128242574,652.5
2020-03-01,0.0887867737094971,0.7906497820404929,0.1496047288408005,652.5
2021-03-01,0.076751141148175,0.398419245556806,0.1732549586431256,877.5
2022-03-01,0.0870382367845436,0.4094472632571505,0.1563051968336181,1009.575
2023-03-01,0.1034933619417996,0.6309284341334763,0.1623900611139256,1102.5
2024-03-01,0.0995865055369945,0.4420005015873096,0.1807459281612295,1157.625
2025-03-01,0.0964290796963946,0.4439195920303605,0.17199268814524,1158.075
