year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,3502,-2072,-1496,-66
2015-03-01,2114,-380,-1644,90
2016-03-01,3690,-68,-3384,238
2017-03-01,3267,-3610,-190,-532
2018-03-01,4328,-1954,-1885,488
2019-03-01,2487,-273,-2074,140
2020-03-01,3850,1766,-6247,-630
2021-03-01,3120,-2869,-20,231
2022-03-01,4197,276,-4056,417
2023-03-01,5277,1211,-7181,-692
2024-03-01,6558,-72,-6167,319
2025-03-01,-1406,-1053,4230,1771
