year,roe,debt_equity,opm,intrinsic_value
Mar 2014,0.39296676491513366,0.006037198902327472,0.30746005940666676,1394.22
Mar 2015,0.3961686580428557,0.007070208353905401,0.2586636801622855,1444.3799999999999
Mar 2016,0.342441467807294,0.0034472084646555608,0.282357380851573,1755.03
Mar 2017,0.3057160090008583,0.003352123785000116,0.2739009545123171,1901.235
Mar 2018,0.30401278075368854,0.002901513015694014,0.26413439043410447,1922.61
Mar 2019,0.35286094403327145,0.000693155646982537,0.2697336528679598,2390.295
Mar 2020,0.3856952666238737,0.09716377814231035,0.26829734499741953,2456.415
Mar 2021,0.37673110964562145,0.09018546157139055,0.28351108864213626,2498.5950000000003
Mar 2022,0.43133757390143485,0.08770571803587655,0.2766930546429279,2985.375
Mar 2023,0.46782933734406795,0.08502167566132886,0.26283831134845514,3282.915
Mar 2024,0.5094431367348518,0.0886406082507266,0.2669068839692312,3616.08
Mar 2025,0.514975304993879,0.09911773396935286,0.2640057338910561,3824.7
