year,roe,debt_equity,opm,intrinsic_value
2014-03-01,0.3929667649151336,0.0060371989023274,0.3074600594066667,1394.22
2015-03-01,0.3961686580428557,0.0070702083539054,0.2586636801622855,1444.38
2016-03-01,0.342441467807294,0.0034472084646555,0.282357380851573,1755.03
2017-03-01,0.3057160090008583,0.0033521237850001,0.2739009545123171,1901.235
2018-03-01,0.3040127807536885,0.002901513015694,0.2641343904341044,1922.61
2019-03-01,0.3528609440332714,0.0006931556469825,0.2697336528679598,2390.295
2020-03-01,0.3856952666238737,0.0971637781423103,0.2682973449974195,2456.415
2021-03-01,0.3767311096456214,0.0901854615713905,0.2835110886421362,2498.5950000000003
2022-03-01,0.4313375739014348,0.0877057180358765,0.2766930546429279,2985.375
2023-03-01,0.4678293373440679,0.0850216756613288,0.2628383113484551,3282.915
2024-03-01,0.5094431367348518,0.0886406082507266,0.2669068839692312,3616.08
2025-03-01,0.514975304993879,0.0991177339693528,0.2640057338910561,3824.7
