year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,166,-708,-58,-600
2015-03-01,2711,-178,-117,2416
2016-03-01,5778,-7204,-144,-1570
2017-03-01,8525,-9032,-144,-651
2018-03-01,10395,-8910,-221,1264
2019-03-01,13473,-13552,-241,-321
2020-03-01,19299,-16986,-198,2114
2021-03-01,23878,-19203,3,4677
2022-03-01,21852,-21611,-231,10
2023-03-01,28656,-30203,-415,-1962
2024-03-01,29122,-31221,-227,-2327
2025-03-01,25547,-21789,-215,3543
