year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,3728,-2362,-824,542
2015-03-01,3219,-2423,-1585,-788
2016-03-01,5470,-3538,-2007,-75
2017-03-01,3971,-3221,-1056,-305
2018-03-01,7027,-5110,-1033,884
2019-03-01,4924,-2549,-1555,820
2020-03-01,3678,-2576,-1015,86
2021-03-01,9594,-14564,3514,-1456
2022-03-01,6977,-3961,-3166,-150
2023-03-01,9129,-4753,-3784,593
2024-03-01,11474,-5361,-5547,566
2025-03-01,16617,-13874,-3355,-612
