Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-February-2023,120.00,124.15,119.35,122.05,122.090629406244547456,4241140,19603,517803452.00,1551977,36.59,4.80,2.05
31-January-2023,118.70,120.40,117.85,119.65,119.527472076641112719,2315624,11222,276780683.00,1090086,47.08,2.55,0.95
30-January-2023,120.60,121.05,116.90,118.70,118.474189548067645976,2244982,13685,265972423.00,635275,28.30,4.15,-1.90
27-January-2023,121.60,123.20,119.10,120.65,121.014639350374943033,2413700,16090,292093035.00,658830,27.30,4.10,-0.95
25-January-2023,120.25,122.25,120.00,121.00,120.997834052491178594,2065147,11440,249878314.00,427657,20.71,2.25,0.75
24-January-2023,122.30,122.55,120.10,120.35,121.022372871805833115,1632781,8264,197603031.00,735617,45.05,2.45,-1.95
23-January-2023,123.30,123.85,121.50,122.00,122.611508240419331417,2010820,11018,246549673.00,818736,40.72,2.35,-1.30
20-January-2023,123.50,124.20,122.00,122.90,123.265478871772806872,1891853,10135,233200166.00,586966,31.03,2.20,-0.60
19-January-2023,121.95,124.30,120.25,123.50,123.421469659921514205,4882667,27976,602625937.00,1623906,33.26,4.05,1.55
18-January-2023,119.85,123.00,119.85,122.60,122.083718117096147886,3336506,15199,407333058.00,976291,29.26,3.15,2.75
17-January-2023,119.85,119.85,118.00,119.35,118.948352077501419349,1523585,9060,181227925.00,555951,36.49,1.85,-0.50
16-January-2023,121.25,121.45,118.80,119.95,119.835557606237021074,1597301,12519,191413456.00,411486,25.76,2.65,-1.30
13-January-2023,118.35,121.60,118.15,120.45,120.322695024244590435,3161530,16139,380403810.00,756034,23.91,3.45,2.10
12-January-2023,118.85,119.20,117.55,118.05,118.151655910585219648,1343581,8379,158746320.00,385941,28.72,1.65,-0.80
11-January-2023,119.30,120.35,118.00,118.80,119.135344958213374051,1715860,11662,204419573.00,367699,21.43,2.35,-0.50
10-January-2023,117.55,119.75,117.55,118.85,118.570072560649674955,2370293,16043,281045813.00,871157,36.75,2.20,1.30
9-January-2023,116.80,118.15,116.60,117.50,117.522547277371193447,1569990,11631,184509224.00,423630,26.98,1.55,0.70
6-January-2023,116.80,117.80,115.25,115.60,116.617506130040546138,3823792,25278,445921087.00,1009999,26.41,2.55,-1.20
5-January-2023,116.40,117.00,114.50,116.60,115.769041104825199791,2330432,13888,269791878.00,460093,19.74,2.50,0.20
4-January-2023,118.55,119.10,115.35,115.70,116.594668155346990321,2459449,14417,286758640.00,716610,29.14,3.75,-2.85
3-January-2023,119.75,120.50,117.75,118.45,119.029921682484690267,3278960,18673,390294352.00,773342,23.58,2.75,-1.30
2-January-2023,114.20,119.60,113.75,119.25,117.697056199485864568,12754227,69759,1501134972.00,7582562,59.45,5.85,5.05
