year,roe,debt_equity,opm,intrinsic_value
2014-03-01,0.3304695818188493,0.0088849726475015,0.3704752733246473,143.5
2015-03-01,0.3081358709352155,0.0084761784723972,0.3671587191179122,164.0
2016-03-01,0.2226101218369259,0.0019681349578256,0.3707644417228006,164.0
2017-03-01,0.2257341693060134,0.0009911016310085,0.3617190422745978,173.63500000000002
2018-03-01,0.2188725956960578,0.0006855836983431,0.3802389007802251,184.5
2019-03-01,0.2170406317106575,0.0002198136656465,0.3834712453454696,205.0
2020-03-01,0.2388889740015014,0.0042437148591301,0.3916740908722766,246.0
2021-03-01,0.2217674449434106,0.0044906954778199,0.3464482205574842,225.5
2022-03-01,0.2482267232407333,0.0039868705467936,0.3400610108005606,253.585
2023-03-01,0.2816426867182416,0.0044248427445593,0.3624416587938352,307.5
2024-03-01,0.2785107439569436,0.0040667319849141,0.3707825472531355,335.995
2025-03-01,0.5005283449950021,0.0040696844209624,0.3430426297412477,569.285
