year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,36,-17,-18,0
2015-03-01,36,-13,-23,0
2016-03-01,34,-6,-28,0
2017-03-01,38,-17,-22,0
2018-03-01,69,-23,-44,2
2019-03-01,35,-24,-4,7
2020-03-01,28,-34,-3,-9
2021-03-01,19,-12,-7,0
2022-03-01,16,-15,-2,-1
2023-03-01,43,-59,17,0
2024-03-01,57,-73,16,0
2025-03-01,96,-68,-25,3
