date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2026-01-09,1607.2,1630.9,1607.2,1614.75,172509,5486,279506806.0
2026-01-08,1636.1,1644.15,1608.8,1613.15,526375,24225,852097040.0
2026-01-07,1613.05,1642.0,1613.05,1638.9,312847,17905,511008306.0
2026-01-06,1601.5,1619.85,1599.0,1611.15,220594,8958,355785514.0
2026-01-05,1632.05,1636.65,1583.5,1606.4,322979,22364,517657289.0
2026-01-02,1633.05,1643.2,1628.0,1640.65,139635,4597,228851987.0
2026-01-01,1608.95,1639.4,1608.95,1629.5,484748,29287,789892955.0
2025-12-31,1623.95,1628.95,1609.9,1616.45,331554,18977,536271173.0
2025-12-30,1640.0,1648.0,1618.5,1624.4,230266,9645,376077340.0
2025-12-29,1655.55,1672.0,1638.0,1645.5,153008,5565,251868305.0
2025-12-26,1658.3,1668.3,1651.15,1655.55,206425,7190,342460678.0
2025-12-24,1660.0,1667.7,1652.25,1662.4,243609,21972,404623733.0
2025-12-23,1681.95,1681.95,1655.95,1668.1,289480,20912,481867110.0
2025-12-22,1669.95,1692.9,1662.8,1689.7,831315,23222,1398101133.0
2025-12-19,1645.05,1655.0,1629.7,1639.6,434492,10115,713194867.0
2025-12-18,1610.0,1629.0,1607.0,1626.35,713643,41608,1158947270.0
2025-12-17,1590.0,1606.5,1586.45,1602.1,173930,6625,278545910.0
2025-12-16,1598.05,1603.2,1585.9,1592.35,342763,10536,545388190.0
2025-12-15,1581.0,1610.7,1581.0,1607.05,231199,10965,370966411.0
2025-12-12,1602.05,1602.05,1582.3,1598.75,398050,6412,633604391.0
2025-12-11,1598.8,1605.8,1580.95,1597.8,762589,35406,1215410890.0
2025-12-10,1600.55,1606.3,1582.45,1584.65,574014,37634,913989930.0
2025-12-09,1600.05,1606.15,1582.5,1599.35,146401,6512,233765450.0
2025-12-08,1615.95,1629.8,1600.6,1610.05,255146,8359,412399016.0
2025-12-05,1607.35,1631.2,1600.85,1615.95,687186,25654,1111339229.0
2025-12-04,1560.75,1599.75,1560.75,1597.8,1501246,55397,2393079772.0
2025-12-03,1555.0,1585.6,1551.1,1578.3,462341,16678,727325912.0
2025-12-02,1564.05,1579.55,1556.0,1560.75,267203,12538,418267965.0
2025-12-01,1560.25,1573.7,1557.0,1563.15,217785,5596,340314450.0
2025-11-28,1569.1,1569.1,1556.95,1559.7,220809,4291,344959179.0
2025-11-27,1557.05,1574.4,1552.4,1566.15,866615,33677,1355437412.0
2025-11-26,1534.55,1559.95,1534.45,1557.75,190827,15315,295327618.0
2025-11-25,1549.0,1549.45,1526.0,1530.0,266157,12309,407830778.0
2025-11-24,1557.15,1584.95,1541.55,1549.4,414633,15495,649342852.0
2025-11-21,1530.0,1551.5,1527.5,1544.6,699948,10912,1083066680.0
2025-11-20,1541.0,1555.0,1533.4,1536.75,932233,29694,1433908116.0
2025-11-19,1488.8,1542.85,1488.8,1541.25,415125,16690,635284556.0
2025-11-18,1505.05,1505.05,1483.45,1485.65,658521,10815,979471197.0
2025-11-17,1485.1,1509.9,1485.1,1507.6,192848,9520,289488162.0
2025-11-14,1510.65,1529.65,1489.3,1502.5,427328,17004,643247736.0
2025-11-13,1558.95,1558.95,1530.4,1542.35,1051410,34662,1623476915.0
2025-11-12,1541.2,1557.9,1538.25,1551.4,641435,24832,994253927.0
2025-11-11,1523.25,1532.5,1511.0,1530.6,521626,20405,794783297.0
2025-11-10,1495.0,1520.0,1490.15,1514.6,664564,23237,1004680021.0
2025-11-07,1470.0,1481.15,1449.35,1477.35,402284,17566,588890469.0
2025-11-06,1473.2,1482.7,1461.3,1466.25,1067624,32784,1568103543.0
2025-11-04,1480.0,1481.2,1463.0,1468.0,162143,9828,238641299.0
2025-11-03,1481.3,1490.0,1474.35,1485.35,296650,13773,439575692.0
2025-10-31,1491.55,1496.95,1481.0,1482.5,330766,11783,492082258.0
2025-10-30,1506.0,1507.8,1489.0,1493.6,556398,22558,831338899.0
2025-10-29,1500.0,1519.8,1496.85,1510.8,273304,15210,412676836.0
2025-10-28,1498.2,1505.55,1490.5,1500.6,443272,21549,663300248.0
2025-10-27,1512.3,1515.0,1498.0,1504.8,295388,13771,445194909.0
2025-10-24,1538.0,1542.3,1517.45,1525.4,373169,17433,569411785.0
2025-10-23,1515.0,1545.7,1506.9,1528.85,1133053,36938,1734146252.0
