year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2025-03-01,0.1,-0.08,0,0.08,0.1,0,0,0,0.1,0.1
2025-09-01,736,9708,5983,22446,38873,13021,626,9590,15636,38873
